method,nmi,ari,acc,dataset
CoclustMod,0.3840246950328917,0.3190421774544417,0.5035183737294762,r8
CoclustInfo,0.4268043994602731,0.2749888124077073,0.45725827469377117,r8
CoclustModFuzzy,0.47719071468224405,0.34927249797899385,0.6215793588741204,r8
CoclustMod,0.9298244325626792,0.9603087444633237,0.9866358262657414,classic3
CoclustInfo,0.933658618374583,0.9622041089489578,0.9874068362888717,classic3
CoclustModFuzzy,0.8782489938126017,0.9036204373573509,0.9655615523001799,classic3
CoclustMod,0.6608219684419236,0.6303911975823622,0.8603241719520789,classic4
CoclustInfo,0.7240246081926431,0.6985729047551003,0.8887949260042284,classic4
CoclustModFuzzy,0.0885949500478284,-0.04641735120127223,0.3692741367159972,classic4
CoclustMod,0.38034475998690453,0.3341498869174912,0.5410476935105551,r8
CoclustInfo,0.464322338798633,0.2784553946973605,0.38141777430284074,r8
CoclustModFuzzy,0.47719071468224405,0.34927249797899385,0.6215793588741204,r8
